id,description,host_listings_count,neighbourhood_cleansed,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,instant_bookable,cancellation_policy,has_house_rules,host_gender,accommodates_catg,guests_included_catg,minimum_nights_catg,host_listings_count_catg,bathrooms_catg,bedrooms_catg,beds_catg,security_deposit,extra_people,yield
34825.jpg,"Bright, large dbl room with a very high ceiling in a great and quiet location in the heart of Central London. Dbl bed with a dbl sofa bed (can cater for 4 persons). Large cupboard to store luggage. Walking distance to Oxford St, Leicester Sq, Piccadilly Circus. 6 mins from Russell Square (British Museum) and 10 mins from King's Cross. Cafes, shops and supermarkets (24hrs) are 5 mins away. ***PLEASE SEND ME A MESSAGE FIRST*** and WAIT for a reply before making a booking request! Thank you :-) **** PLEASE MESSAGE ME FIRST **** and please WAIT for a reply before making a booking request (sorry for repeating this but I still get people booking) **** *** NO cleaning fee charged / NO deposit taken *** *** A booking you can trust - I've NEVER once cancelled a booking *** *** You are renting JUST the room and NOT the whole apartment *** *** Guests who book will be sharing the kitchen and bathroom with just MYSELF. Please note there is also NO living room / communal room - just the 2 rooms *** ",1.0,Camden,51.52513,-0.11749,t,apartment,private_room,4,1.0,1.0,2.0,1,1,f,strict_14_with_grace_period,1,male,3,1,1,1,1,1,2,0.0,20.0,76.95
36299.jpg,"3 Bed House with garden close to Thames river (2 min walk, private road to river nearby), on the District Line Underground (7 min walk) for direct access into Central London, near Kew Gardens. Kids playground in walking distance along the Thames tow path. Residential neighborhood, mix of English and corporate expat families. House is in a cul-de-sac with a private road to the river Thames at its end. River about 300 feet away. Walking distance to subway (7 min).  Central London via the underground: 30-40 min, the District line (Kew Gardens stop 7 min walk - Zone 3). In addition, the Overground to Stratford also stops at the Kew Gardens underground station (Kew Gardens stop 7 min walk). Further, there is an overland railway station at Kew Bridge (10 min walk) to take you to Waterloo railway station in 21 minutes.  By bicycle one can follow the towpath to Hammersmith Bridge or continue to Putney Bridge (50 min).  Lastly, several Streetcar parking spots within a few min walk. Imperial Col",1.0,Richmond upon Thames,51.47934,-0.28066,t,other,entire_home/apt,5,1.5,3.0,3.0,1,3,f,moderate,1,male,3,1,3,1,2,3,3,0.0,0.0,128.70000000000002
36660.jpg,"This room is located on the ground floor of the house. It is lovely, a very good size with a double bed and has a beautiful view of the garden, with your own door leading out to the patio. AND a plentiful breakfast is included in the price of the room! Blenheim Lodge is a beautiful house in a quiet upmarket residential area in North London, the perfect place to rest and recover after a busy day out sightseeing. You can take advantage of the big garden in the summer months, when it is full of colourful flowers and wildlife.  Our house is in Zone 3, 20 minutes by underground to London Bridge and Kings Cross and just 10 minutes to Camden Market. The nearest station is East Finchely and is 5 minutes walking distance from our house.    Cinema, shops, pubs and restaurants are minutes away from the house.  If you do not mind changing rooms in order to cover your requested days please contact me as I might be able to book you in different rooms.  Wi-Fi available  Towels, bed linen and hairdrye",2.0,Haringey,51.58461,-0.1617,t,house,private_room,2,0.0,1.0,1.0,1,2,t,strict_14_with_grace_period,1,unknown,2,1,2,2,0,1,1,0.0,0.0,338.4000000000001
36986.jpg,"Situated literally in London Fields park and only moments from the Lido heated outdoor swimming pool this Victorian one-bedroom apartment is the ideal location for a visit to London's most vibrant and trendy area.  Broadway Market is on the doorstep and Hackney Central and Dalston only a short stroll away, as well as easy Underground and bus access to Central London. This listing is for the whole apartment. Fast Broadband, Cable TV, towels, toiletries and breakfast are included. The flat is situated in the beautiful area of London Fields in Hackney. The super-trendy area of Hackney, close to famous Dalston, Islington and the City of London, contains an outstanding choice of arts and cultural attractions, shops, bars and restaurants. The famous Hackney Empire theatre and Hackney Picturehouse, are moments away. Broadway Market with it's quaint and stylish shops and restaurants are quite literally on your doorstep and Columbia Road, famous for it's Sunday flower-market can be reached with",2.0,Hackney,51.53972,-0.05885,f,apartment,entire_home/apt,2,1.0,1.0,1.0,1,6,f,strict_14_with_grace_period,1,male,2,1,3,2,1,1,1,0.0,0.0,52.8
38407.jpg,"The bright, light and stylish apartment in Canary Wharf has been finished to a high standard with a contemporary feel to create a relaxing and comfortable home from home. Canary Wharf has great transport links and the tube is 6/7 mins walk away. An entire bright, light and stylish apartment. Enviable position in the modern, vibrant Canary Wharf with wide range of shops, bars, restaurants and quick, convenient access to the heart of the city, the O2 venue and Greenwich. Broadband internet. Finished to a high standard with contemporary furnishings and a range of home comforts and conveniences to create a relaxing and comfortable home from home. Excellent location for any visitor to London. Apartment close to Canary Wharf underground station (Jubilee Line). Major sites such as Greenwich and Tower of London close by and West End 20mins away on underground. Apartment has recently undergone a major refurbishment and and is immaculately finished.  This is the first time it has been offered fo",1.0,Tower Hamlets,51.49995,-0.02624,t,apartment,entire_home/apt,2,1.0,1.0,1.0,2,2,t,strict_14_with_grace_period,1,male,2,2,2,1,1,1,1,0.0,0.0,101.12
38605.jpg,"Our guest room & bathroom overlooks the garden. It is simply furnished with a comfortable double bed. The private bathroom has a bath & shower with towels supplied.  Breakfast is served in the kitchen where guests are welcome to make tea & coffee at other times, but we don't offer guests cooking facilities.  There is pay by phone parking in the street 7 days per week 9am-9pm The house is located in a quiet street in lively diverse Shepherd's Bush. This is a multicultural area where you will experience a taste of real life in the capital and still be only a short bus or tube ride away from all its famous tourist haunts. Our guest room is on the second floor and is located at the back of the house overlooking the garden. The room is quiet with no traffic noise and simply furnished, light and airy double bedroom and next to it is a private bathroom for the sole use of our guests.  Ours is a typical Victorian era terraced family home. Like a lot of old houses it has its creaks and the plum",2.0,Hammersmith and Fulham,51.50687,-0.23328,t,other,private_room,2,1.0,1.0,1.0,1,2,f,moderate,1,unknown,2,1,2,2,1,1,1,0.0,0.0,201.5
38610.jpg,"A typical Victorian Terraces London house, colourfully decorated, comfortable and homely. This is a friendly, quiet neighbourhood street with plenty of nearby restaurants, takeaways and great transport links right into the centre of London.  Westfield one of Europe's largest urban shopping malls is on our doorstep. You get to feel like a local living in London but still with easy access to all the tourist areas. Convenient for airports & Eurostar Our simply furnished low tech 5 bedroom Victorian terraced family home is located in a quiet street in lively Shepherds Bush. As our own family home it provides guests with the opportunity to live in London as a local. For this listing all five of our double bedrooms are available for the use of up to 10 guests. This is our family home and we know that Airbnb community members are always respectful of that fact.  As we are occasionally out of town and most of our grown up children have left home we are happy to make our house available to othe",2.0,Hammersmith and Fulham,51.50819,-0.23284,t,other,entire_home/apt,10,2.0,5.0,6.0,6,6,f,strict_14_with_grace_period,1,unknown,3,3,3,2,2,3,3,300.0,18.0,113.92
39387.jpg,"Private lockable bedsit room available within bright flat suitable for a single person or couple. Located in quiet street very convenient for tube and buses e.g. great for seeking permenant accommodation. Creatives and postgraduate students especially welcome. NEW:  professional cleaner just prior to start of a stay then one every 7th day. Private lockable bedsit room available within bright flat suitable for a single person or couple. Located in quiet street very convenient for tube and buses e.g. great for seeking permenant accommodation. Short walk to Westbourne Park tube. Also near 18 bus to Euston Station, 31 bus to Notting Hill or Camden, 28 & 328, 6 and 36 to Kensington and Central London. Residents car parking only. Kitchen and bathroom with facilities are shared with me only. I am home normally daytime too but often away for several days so you might have the place to yourself. Front door to the building is shared with one other flat only.  Smoking on my outside roof terrace o",1.0,Westminster,51.52589,-0.19942,t,apartment,private_room,2,1.0,1.0,1.0,1,5,f,moderate,1,male,2,1,3,1,1,1,1,90.0,10.0,5.7200000000000015
41311.jpg,"Big room with double bed/ clean sheets/ clean towels in very clean private house.  Very light and spacious rooms. Free WIFI everywhere in the house.  Shared house with host and other guests. Full use of kitchen 7 minutes to metro station Big double Room to let up to 6 months or more. Full use of kitchen, bathroom and washing machine.  CLEAN, TIDY, QUIET, Friendly big house.  Garden, Wireless broadband 7 Minutes walk from Brent Cross tube station or 15 minutes from Golders Green station on the Northern line. 20 minutes into Central London. Big shopping centre near by and big Tesco supermarket 5 minutes walking. Fresh linen and towels are provided  Smoking only allowed outside Golders Green is a cosmopolitan area with a prominent Jewish community and has a wide variety of housing plus a busy main shopping street. The area offers restaurants from all over the world, from kosher food to Thai, Korean, and Italian, plus a multitude of coffee bars. The local Golders Hill Park is a popular and",3.0,Barnet,51.57375,-0.2089,t,house,private_room,2,1.5,1.0,1.0,1,10,t,strict_14_with_grace_period,1,female,2,1,3,3,2,1,1,100.0,8.0,18.0
41445.jpg,"The apartment is on the ground floor (no stairs to climb) to the rear is private off street parking.Your stay includes free mobile Wi-fi (Vodafone), towels and bed linen. The rental is for the entire flat .There is also a nice quite rear garden with BBQ area . Stylish apartment with a lot of character furnished, double glazed and central heated very bright and comfortable with large windows in every room, wooden floors. Bedroom one contains a double bed for one or two people with lots of cupboard space. Bedroom two has 2 single beds. The kitchen is fully equipped with everything you need all the amenities such as kettle, toaster, washing machine, a living room area with flat screen TV with multi satellite channels as well as connection to the broadband hub. The bathroom is modern with heated towel rail bathtub/shower, toilet and sink. The Mill Hill neighbourhood is a quite area popular with families with some very good restaurants close by including Chinese, Argentinian, Thai, and larg",1.0,Barnet,51.61648,-0.25788,f,apartment,entire_home/apt,4,1.0,2.0,3.0,4,4,t,strict_14_with_grace_period,1,male,3,3,3,1,1,2,3,100.0,50.0,25.65
41509.jpg,"Double bed on 1st floor. 2 extra single beds in room, has moved to larger room on same floor.  Use of fridge in room.  In summer the balcony for coffee and tea. Wi fi. Close to high road.  Great for transport, local cafes, restaurants and access to town, river Thames, summer events and bustlling village feel to the area. Minimum 3 night stay.  Bookings only for named person with guests, no 3rd party bookings Keys : £100 charge if lost to replace locks  and copy 3 mins from tube, zone 2 just off chiswick high road, with cafes bars and restaurants 1 mile from kew gardens Double room, own bathroom -with double bed and 1 single and fold out bed can sleep 3 and 4 including fold-out bed nice apartment the bed in 1st floor room is a brass bed, double size, next to w.c. and bathroom/w.c the flat is on 3 floors, with the reception and kitchen and balcony above about 100m from the high road, with good shopping, restaurants and coffee bars See photos, love it here :).  Can use local bike hire on ",2.0,Hounslow,51.49157,-0.256,t,apartment,private_room,4,1.0,1.0,3.0,1,2,f,moderate,1,male,3,1,2,2,1,1,3,200.0,20.0,43.52
41712.jpg,"A luminous room in a modern 2 bedroom flat located in Central London.   Room has a great view of Shard Building and is very light. Simply furnished with neutral minimal decor. This listing is a for a separate isolated bedroom .  The bathroom is shared.  The kitchen area can be used moderately , but not before 9am or after 10pm.  The flat  is shared with only one person.  Vegetarian household. This listing is a for a separate isolated bedroom .  The bathroom is shared.  The kitchen area can be used moderately , but not before 9am or after 10pm.  Vegetarian household.   The room is filled with light, and has a great view of Shard. Windows are large. There is a king size bed, clothes rail, small computer table and a chair. The room has wooden floors and is decorated in neutral tones.  The room  would suit someone who is in London on a short visit on work/ business trip and would need a calm safe  after work , however it's not suitable for someone intending to work from home. shared bathro",2.0,Southwark,51.50205,-0.10015,t,apartment,private_room,1,1.0,2.0,0.0,1,1,f,strict_14_with_grace_period,1,female,1,1,1,2,1,2,0,100.0,35.0,62.9
41870.jpg,"Lovely friendly house, close to central line underground station. Pretty sure you'll enjoy your stay. Welcome!  I have a five bedroom modern townhouse in East London. It is just 8-11 minute walk to nearby Leyton underground station. It is close to local amenities, and about 15 minute walk from Europe's largest shopping mall, Westfield. The place is close to public transport connections, and of course, I will be here to give advise on the sights of our beautiful and historic city. If you are a nature lover, then the house is close to Epping Forest; and if you're sporty, there are places to go cycling, horse riding, ice skating and rowing. And there is a nearby gym and leisure centre. If you're a foodie, you will also have a feast! The room is a double room, TV, chair, cupboard and chest of drawers. You also have complete access to the shared relaxed lounge and kitchen. The house is cosy and warm with central heating and wifi. There are caged gerbils in the house but 99% likely that you ",1.0,Waltham Forest,51.55842,0.00382,t,house,private_room,2,2.5,1.0,1.0,1,2,t,moderate,1,unknown,2,1,2,1,2,1,1,0.0,10.0,0.7000000000000001
42001.jpg,"A peaceful and spacious Bedroom in a beautiful house. A choice of 1 super king size bed, 2 or 3 single beds, or the big bed and a single can be set for your needs. There are two windows overlooking this lovely street. If more than two people, then you will have a sole use of one of the bathrooms in the case there is another guests or me in the house. There are no pets living in the house! Come and stay in a lovely spacious home in West Kensington. You'll have a spacious and beautiful bedroom. The house is within a safe and beautiful conservation area close to Kensington Village and Olympia Exhibitions Centre. Clean towels and linen provided. The new super king size bed can be split into two single beds if required and another single bed will be able to fit in the room to if needed.  As well as your room, you will also have access to the kitchen for making a cup of tea or coffee, prepare and eat a meal. The house is peaceful, the street is quiet and safe, yet very central and well locat",3.0,Hammersmith and Fulham,51.49441,-0.20479,t,apartment,private_room,3,1.5,1.0,0.0,1,2,f,moderate,1,female,3,1,2,3,2,1,0,0.0,20.0,117.6
42010.jpg,"Blenheim Lodge was built in 1878 when there were only horses and coaches travelling on the roads. If you are travelling by car we have off road parking in front of our house. East Finchley is a safe friendly area. Our house is about five minutes walk to the tube train station, shops, pubs and restaurants. There are parks nearby and the Phoenix cinema is the oldest continually running cinema in England. This room is located on the ground floor of the house. It is lovely, a good size with a double bed and has a 'Great Britain' theme! A lovely, plentiful breakfast is included in the price of the room. Blenheim Lodge is a beautiful house in a quiet upmarket residential area in North London, the perfect place to rest and recover after a busy day out sightseeing. You can take advantage of the big garden in the summer months, when it is full of colourful flowers and wildlife. Our house is in Zone 3, 20 minutes by underground to London Bridge and Kings Cross St. Pancrass, just 10 minutes to Ca",2.0,Barnet,51.58611,-0.16272,f,house,private_room,2,1.0,1.0,1.0,1,2,t,strict_14_with_grace_period,1,unknown,2,1,2,2,1,1,1,0.0,0.0,198.45
43129.jpg,"Munster Village is a colourful collection of shops & restaurants plus all amnities at the end of our quiet, safe street.  There are Thai, Italian, French & English restaurants to choose from plus antique shops to browse in & easy access to the centre Newly decorated Double/Single room with 5' bed in quiet safe neighbourhood.  Non smoking house.  Shared bathroom.  TV with Freeview in room All bills and wireless internet are included in the price and weekly cleaning and change of linen. The house is well situated with 211, 295 and 74 bus routes close by which go directly to the most popular tourist spots in central London . Fulham Broadway and Parsons Green Stations are a 15 minute walk or a short bus ride away. Our street is totally safe, quiet and private and a 100 yard walk from Munster Village at the end of the street.   Munster Village is a colourful collection of shops and restaurants plus all amenities within 100 yards. Hair dresser, chemist, supermarket, dry cleaners & launderett",3.0,Hammersmith and Fulham,51.48172,-0.20957,t,other,private_room,2,1.0,1.0,1.0,1,2,f,strict_14_with_grace_period,1,unknown,2,1,2,3,1,1,1,95.0,20.0,143.36
43202.jpg,"Soak up the light at a south-facing retreat with sweeping views across London. Original art and curios from around the world create an eclectic charm, amidst striking modern and mid-century furniture. A lush collection of house plants adds freshness.",1.0,Brent,51.53033,-0.21734,t,apartment,entire_home/apt,2,1.0,1.0,1.0,2,2,t,moderate,1,unknown,2,2,2,1,1,1,1,500.0,0.0,161.84
44144.jpg,"Comfortable and cosy double bedroom, with a traditional ensuite bathroom. Beautifully decorated in a charming English manner, with attractive curtains, a good sized desk, TV and spacious cupboard. Bookshelves with a great collection of books on history, art and places of interest in London and Britain. Double Private Room with Ensuite Bathroom. This elegant house with French windows leading onto a garden is conveniently situated on the border of Fulham/Chelsea.  Furnished with antiques  and modern decor. This B&B is used mostly by regulars from all over the world who return year after year. Good public transport nearby, trendy restaurants nearby and only 5 minutes from the River Thames. Three large parks.  TV in each bedroom. The owner/occupier has helped make many TV documentaries on Britain and France and she shares her dozens of books and information.  With her large car, she is also able to do pick ups from airports etc.   For anyone touring Britain she also does tailor made tours ",2.0,Hammersmith and Fulham,51.47483,-0.19303,t,apartment,private_room,2,1.0,1.0,1.0,1,3,f,flexible,0,female,2,1,3,2,1,1,1,300.0,15.0,54.05
44237.jpg,"The maisonette is full of information about Britain as I used to help make documentaries for foreign media. The sitting room is open for guests to use which you can see in the photo.  There is also a garden, when warm enough! Double Private Room - Separate Bathroom. An elegant family maisonette facing onto a garden.   It is unusal for a B&B as it is furnished with antiques and interesting paintings, as well as being up-to-date.   Conveniently situated on the Chelsea/Fulham border, it is close to speedy public transport, including Fulham Broadway underground.  Five minutes walk to the River Thames and three large parks.  TV in each bedroom. I have helped make many TV documentaries on Britain and France and I am more than happy to share my many dozens of books and information with all my guests!  I can offer you tailor made tours as I was once a professional guide and I have a lot of experience in helping people get access to special places within London.  Please feel free to ask me any ",2.0,Hammersmith and Fulham,51.47394,-0.19355,f,apartment,private_room,2,1.0,1.0,1.0,1,1,f,strict_14_with_grace_period,0,female,2,1,1,2,1,1,1,0.0,15.0,7.15
44649.jpg,"De Beauvoir town is a quiet area that is close to some of the best shopping and night spots in London. Shoreditch High Street, Old Street and Angel are all within walking distance. My flat is well located for buses travelling to Old Street, London Bridge, Waterloo and on into London. Close by there is also Dalston Kingsland Overground station which provides a quick links to the famous stable markets and nightlife in Camden town, and is 12 minutes in the other direction to Stratford where the 2012 Olympic stadium is. Locally there is a great deli, restaurants and some friendly welcoming London pubs.  The room is a double with a built in wardrobe. The window looks out on to a lovely local park. In the room there is a very comfortable double bed, table, chair, lamp and a bookcase full of book which you are welcome to read during your stay. The flat has a balcony which also overlooks that park and is ideal for relaxing with a nice cappuccino from one of the local coffee shops.  I have two ",1.0,Hackney,51.54061,-0.08463,t,apartment,private_room,2,1.0,1.0,1.0,1,5,f,strict_14_with_grace_period,1,female,2,1,3,1,1,1,1,0.0,12.0,17.55
45163.jpg,"Nice room in flat in the West Hampstead area - Camden. Very well connected to the town centre and the airports. Quite area.  Kitchen use limited to coffee/tea.  Very nice room in ground floor apartment with direct access to private garden.  The area es extremely well connected to the centre by tube, rail or bus. Zone 2. Tube station:  West Hampstead. Close to Hampstead Heath. Use of kitchen for morning tea/coffee only. Shared use of bathroom.   I love to host guests, but the interaction will depend on my schedule. West Hampstead is, to all intents and purposes, just one street - West End Lane. It is located in the London Borough of Camden, in zone two of the London Underground. It borders Belsize Park/Finchley Road to the east, and Kilburn/Willesden to the west. In the north are Cricklewood and Golders Green, whilst to the south lie uber-refined St. John's Wood and Maida Vale. The area is home to three train stations (all, confusingly, called West Hampstead!) and is a bona fide yuppie ",2.0,Camden,51.55224000000001,-0.19964,t,apartment,private_room,1,1.0,1.0,1.0,1,2,f,strict_14_with_grace_period,1,female,1,1,2,2,1,1,1,150.0,0.0,1.2
